M,K,N,group_size,ref_ms,fp16_ms,triton_ms,speedup,speedup_fp16,max_abs_diff_fp16,max_abs_diff_dequant,best_config
1,4096,4096,per_tensor,0.608897,0.072026,0.045276,13.448657,1.590837,41621704.000000,41621700.000000,
1,4096,1024,per_tensor,0.164545,0.025940,0.040352,4.077696,0.642836,43464576.000000,43464540.000000,
1,4096,14336,per_tensor,2.089298,0.237453,0.064194,32.546518,3.698979,39247084.000000,39247044.000000,
1,14336,4096,per_tensor,2.076769,0.255275,0.147569,14.073188,1.729865,126178728.000000,126178688.000000,
8,4096,4096,per_tensor,0.622833,0.075877,0.045455,13.702334,1.669289,40378228.000000,40378204.000000,
8,4096,1024,per_tensor,0.174904,0.030649,0.045478,3.845872,0.673919,40108416.000000,40108376.000000,
8,4096,14336,per_tensor,2.098703,0.240076,0.067151,31.253684,3.575182,39837132.000000,39837104.000000,
8,14336,4096,per_tensor,2.076650,0.255334,0.148642,13.970808,1.717780,125502224.000000,125502176.000000,
