M,K,N,group_size,ref_ms,triton_ms,speedup,best_config
1,1024,2048,per_tensor,0.088942,0.054753,1.624428,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1024,1024,per_tensor,0.061107,0.053215,1.148297,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1152,1024,per_tensor,0.060821,0.052440,1.159809,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1152,256,per_tensor,0.060678,0.046206,1.313209,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=128,GROUP_SIZE_M=4,num_warps=8,num_stages=4"
1,2048,2048,per_tensor,0.164115,0.053215,3.084005,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,2048,512,per_tensor,0.065625,0.045884,1.430242,"BLOCK_K=64,BLOCK_M=32,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=8,num_stages=2"
1,2048,1024,per_tensor,0.089180,0.051534,1.730511,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,3072,3072,per_tensor,0.350273,0.053585,6.536819,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,3072,768,per_tensor,0.099933,0.046980,2.127125,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
1,3072,1024,per_tensor,0.127149,0.053513,2.376030,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,4096,4096,per_tensor,0.607622,0.054669,11.114479,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,4096,1024,per_tensor,0.163817,0.053799,3.044981,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,5120,5120,per_tensor,0.939620,0.056934,16.503559,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5120,1280,per_tensor,0.248933,0.053978,4.611749,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,5376,4096,per_tensor,0.793707,0.060081,13.210516,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5376,2048,per_tensor,0.405669,0.059569,6.810086,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,1024,3072,per_tensor,0.125384,0.052524,2.387199,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,3072,1024,per_tensor,0.127029,0.052202,2.433432,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,1152,6912,per_tensor,0.297880,0.051796,5.750978,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,6912,1152,per_tensor,0.299203,0.062740,4.768953,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,2048,8192,per_tensor,0.605464,0.053108,11.400673,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,8192,2048,per_tensor,0.620484,0.088012,7.049980,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,2048,16384,per_tensor,1.194715,0.052726,22.658829,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
