M,K,N,group_size,ref_ms,triton_ms,speedup,best_config
1,16384,2048,per_tensor,1.201308,0.163186,7.361604,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,2048,11008,per_tensor,0.814283,0.052869,15.401804,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,11008,2048,per_tensor,0.819886,0.111520,7.351897,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
1,3072,8192,per_tensor,0.897372,0.053072,16.908580,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,8192,3072,per_tensor,0.898898,0.087905,10.225793,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,4096,14336,per_tensor,2.077472,0.054431,38.167105,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,14336,4096,per_tensor,2.053452,0.150275,13.664604,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5120,14336,per_tensor,2.593195,0.057161,45.366632,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,14336,5120,per_tensor,2.565563,0.150454,17.052135,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
1,5376,21504,per_tensor,4.041421,0.085270,47.395359,"BLOCK_K=128,BLOCK_M=4,BLOCK_N=64,GROUP_SIZE_M=2,num_warps=4,num_stages=4"
1,21504,5376,per_tensor,4.023135,0.223565,17.995361,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,1024,2048,per_tensor,0.094569,0.053251,1.775912,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,1024,1024,per_tensor,0.068855,0.053716,1.281846,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,1152,1024,per_tensor,0.068963,0.053215,1.295923,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,1152,256,per_tensor,0.060725,0.046980,1.292565,"BLOCK_K=128,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=4,num_warps=8,num_stages=4"
2,2048,2048,per_tensor,0.170636,0.055170,3.092913,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,2048,512,per_tensor,0.066733,0.046670,1.429885,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
2,2048,1024,per_tensor,0.095856,0.053179,1.802511,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,3072,3072,per_tensor,0.358772,0.054169,6.623239,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,3072,768,per_tensor,0.106454,0.046766,2.276319,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
2,3072,1024,per_tensor,0.135839,0.055444,2.450011,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,4096,4096,per_tensor,0.613225,0.054288,11.295784,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,4096,1024,per_tensor,0.173318,0.054479,3.181400,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,5120,5120,per_tensor,0.942290,0.057948,16.261057,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,5120,1280,per_tensor,0.253761,0.056136,4.520493,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,5376,4096,per_tensor,0.799799,0.059569,13.426456,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,5376,2048,per_tensor,0.411713,0.059617,6.906019,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,1024,3072,per_tensor,0.134504,0.052834,2.545803,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,3072,1024,per_tensor,0.135660,0.052893,2.564796,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,1152,6912,per_tensor,0.302410,0.052238,5.789137,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,6912,1152,per_tensor,0.310636,0.062454,4.973850,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,2048,8192,per_tensor,0.609446,0.052702,11.563900,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,8192,2048,per_tensor,0.613344,0.088239,6.950959,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,2048,16384,per_tensor,1.200020,0.054002,22.221854,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,16384,2048,per_tensor,1.193213,0.162828,7.328062,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,2048,11008,per_tensor,0.817668,0.052249,15.649327,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,11008,2048,per_tensor,0.811648,0.113177,7.171477,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
2,3072,8192,per_tensor,0.901794,0.055146,16.352789,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,8192,3072,per_tensor,0.913084,0.088489,10.318604,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,4096,14336,per_tensor,2.079165,0.053740,38.689663,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,14336,4096,per_tensor,2.064645,0.151145,13.659989,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,5120,14336,per_tensor,2.591014,0.057864,44.777503,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,14336,5120,per_tensor,2.568150,0.152194,16.874129,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
2,5376,21504,per_tensor,4.053652,0.086617,46.799477,"BLOCK_K=128,BLOCK_M=4,BLOCK_N=64,GROUP_SIZE_M=2,num_warps=4,num_stages=4"
2,21504,5376,per_tensor,4.073429,0.224662,18.131381,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,1024,2048,per_tensor,0.097048,0.053823,1.803101,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,1024,1024,per_tensor,0.066710,0.052702,1.265777,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,1152,1024,per_tensor,0.067067,0.053418,1.255523,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,1152,256,per_tensor,0.060761,0.048339,1.256967,"BLOCK_K=256,BLOCK_M=8,BLOCK_N=128,GROUP_SIZE_M=4,num_warps=8,num_stages=4"
4,2048,2048,per_tensor,0.171351,0.053108,3.226487,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,2048,512,per_tensor,0.067127,0.045848,1.464119,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
4,2048,1024,per_tensor,0.095844,0.051904,1.846578,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,3072,3072,per_tensor,0.362623,0.053668,6.756775,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,3072,768,per_tensor,0.106668,0.044715,2.385497,"BLOCK_K=64,BLOCK_M=32,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=8,num_stages=2"
4,3072,1024,per_tensor,0.135958,0.054872,2.477732,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
4,4096,4096,per_tensor,0.612628,0.053680,11.412614,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,4096,1024,per_tensor,0.173914,0.052893,3.288032,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
4,5120,5120,per_tensor,0.941586,0.057209,16.458846,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,5120,1280,per_tensor,0.254524,0.054204,4.695623,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
4,5376,4096,per_tensor,0.797844,0.059748,13.353551,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,5376,2048,per_tensor,0.411487,0.059700,6.892572,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,1024,3072,per_tensor,0.134599,0.052571,2.560317,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,3072,1024,per_tensor,0.135541,0.053358,2.540214,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
4,1152,6912,per_tensor,0.303471,0.052142,5.820073,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,6912,1152,per_tensor,0.311780,0.063324,4.923569,"BLOCK_K=256,BLOCK_M=1,BLOCK_N=64,GROUP_SIZE_M=1,num_warps=4,num_stages=4"
4,2048,8192,per_tensor,0.609195,0.052691,11.561765,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,8192,2048,per_tensor,0.614262,0.088096,6.972666,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,2048,16384,per_tensor,1.205516,0.053334,22.603040,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,16384,2048,per_tensor,1.193762,0.171924,6.943558,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,2048,11008,per_tensor,0.821233,0.053489,15.353243,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,11008,2048,per_tensor,0.812697,0.117087,6.940949,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,3072,8192,per_tensor,0.901365,0.054312,16.596137,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,8192,3072,per_tensor,0.909114,0.088513,10.270976,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,4096,14336,per_tensor,2.080679,0.054145,38.428005,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,14336,4096,per_tensor,2.068520,0.150442,13.749604,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,5120,14336,per_tensor,2.596819,0.058401,44.465605,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,14336,5120,per_tensor,2.570868,0.151598,16.958402,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
4,5376,21504,per_tensor,4.056609,0.086319,46.995305,"BLOCK_K=256,BLOCK_M=8,BLOCK_N=128,GROUP_SIZE_M=4,num_warps=8,num_stages=4"
4,21504,5376,per_tensor,4.042494,0.224721,17.988913,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,1024,2048,per_tensor,0.095654,0.052881,1.808837,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,1024,1024,per_tensor,0.066984,0.051701,1.295596,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,1152,1024,per_tensor,0.067043,0.052834,1.268953,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,1152,256,per_tensor,0.065207,0.045002,1.449007,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
8,2048,2048,per_tensor,0.171947,0.052428,3.279673,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,2048,512,per_tensor,0.066590,0.044847,1.484848,"BLOCK_K=64,BLOCK_M=32,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=8,num_stages=2"
8,2048,1024,per_tensor,0.096548,0.053775,1.795389,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,3072,3072,per_tensor,0.362372,0.053346,6.792849,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,3072,768,per_tensor,0.107813,0.046504,2.318380,"BLOCK_K=64,BLOCK_M=16,BLOCK_N=128,GROUP_SIZE_M=8,num_warps=4,num_stages=2"
8,3072,1024,per_tensor,0.136185,0.053632,2.539231,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,4096,4096,per_tensor,0.623679,0.054097,11.528867,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,4096,1024,per_tensor,0.173998,0.053740,3.237799,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,5120,5120,per_tensor,0.952590,0.057662,16.520364,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,5120,1280,per_tensor,0.255609,0.056851,4.496121,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,5376,4096,per_tensor,0.804484,0.059760,13.461999,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,5376,2048,per_tensor,0.412822,0.059247,6.967807,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,1024,3072,per_tensor,0.135028,0.053358,2.530608,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,3072,1024,per_tensor,0.136948,0.053632,2.553456,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,1152,6912,per_tensor,0.304592,0.057149,5.329787,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,6912,1152,per_tensor,0.314665,0.074720,4.211232,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,2048,8192,per_tensor,0.615454,0.054717,11.247930,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,8192,2048,per_tensor,0.615776,0.088096,6.989851,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,2048,16384,per_tensor,1.211870,0.055039,22.018410,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,16384,2048,per_tensor,1.195467,0.171387,6.975238,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,2048,11008,per_tensor,0.825500,0.052917,15.599910,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,11008,2048,per_tensor,0.814295,0.116777,6.973050,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,3072,8192,per_tensor,0.904381,0.053954,16.762042,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,8192,3072,per_tensor,0.910974,0.088024,10.349133,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,4096,14336,per_tensor,2.081919,0.053906,38.620964,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,14336,4096,per_tensor,2.067018,0.150716,13.714625,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,5120,14336,per_tensor,2.601278,0.057852,44.964146,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,14336,5120,per_tensor,2.572167,0.151801,16.944322,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
8,5376,21504,per_tensor,4.063272,0.086594,46.923458,"BLOCK_K=256,BLOCK_M=8,BLOCK_N=128,GROUP_SIZE_M=4,num_warps=8,num_stages=4"
8,21504,5376,per_tensor,4.042184,0.224733,17.986580,"BLOCK_K=128,BLOCK_M=8,BLOCK_N=64,GROUP_SIZE_M=4,num_warps=4,num_stages=4"
